Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,AUG FY2022,204,01-08-2016
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,OCT FY2022,564,01-10-2016
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,SEP FY2022,1476,01-09-2016
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,AUG FY2002,374,01-08-2017
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,OCT FY2002,6094,01-10-2017
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2002,SEP FY2002,354,01-09-2017
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,AUG FY2008,906,01-08-2018
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,OCT FY2008,664,01-10-2018
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2008,SEP FY2008,2146,01-09-2018
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,AUG FY2007,606,01-08-2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,OCT FY2007,1039,01-10-2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2007,SEP FY2007,682,01-09-2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,AUG FY2011,279,01-08-2020
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,OCT FY2011,407,01-10-2020
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2011,SEP FY2011,234,01-09-2020
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,AUG FY2012,64,01-08-2021
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,OCT FY2012,303,01-10-2021
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2012,SEP FY2012,742,01-09-2021
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,AUG FY2022,641,01-08-2022
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,OCT FY2022,530,01-10-2022
CSWBU,CBR8,CBR-D121-DS-MOD,Q1 FY2022,SEP FY2022,291,01-09-2022
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,DEC FY2022,3680,01-12-2016
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,JAN FY2022,2576,01-01-2016
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2022,NOV FY2022,154,01-11-2016
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,DEC FY2002,1821,01-12-2017
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,JAN FY2002,4740,01-01-2017
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2002,NOV FY2002,335,01-11-2017
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,DEC FY2008,368,01-12-2018
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,JAN FY2008,746,01-01-2018
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2008,NOV FY2008,1635,01-11-2018
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,DEC FY2007,1526,01-12-2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,JAN FY2007,1913,01-01-2019
CSWBU,CBR8,CBR-D121-DS-MOD,Q2 FY2007,NOV FY2007,26,01-11-2019
